url,route_file,template_type,indexable,canonical,title,description,h1,word_count_main,schema_types,internal_inlinks,internal_outlinks,sitemap,status_code,redirect_target,notes
https://maxsite.com.ua/,index.html,home,true,https://maxsite.com.ua/,"MAX SITE — сайти, SEO та Google Ads для бізнесу","MAX SITE створює сайти, налаштовує SEO, аналітику та Google Ads для бізнесу в Україні. Один відповідальний за структуру, запуск і розвиток.","Сайти, SEO та Google Ads для росту бізнесу",1744,Answer|BreadcrumbList|Country|FAQPage|ListItem|Organization|ProfessionalService|Question|WebSite,413,79,true,200,,
https://maxsite.com.ua/404.html,404.html,supporting-page,false,,Сторінку не знайдено | MAX SITE,"Сторінку не знайдено. Перейдіть на головну, послуги, блог або контакти MAX SITE.",Сторінку не знайдено,38,,0,13,false,200,,
https://maxsite.com.ua/blog/,blog/index.html,blog-index,true,https://maxsite.com.ua/blog/,Блог про створення сайтів для бізнесу | MAX SITE,"SEO-блог MAX SITE про створення сайтів, лендінги, корпоративні сайти, Google Ads, аналітику та просування бізнесу в Google.",Блог про створення сайтів,233,BreadcrumbList|ListItem|Organization,245,68,true,200,,
https://maxsite.com.ua/blog/canonical-url-prostymy-slovamy/,blog/canonical-url-prostymy-slovamy/index.html,article,true,https://maxsite.com.ua/blog/canonical-url-prostymy-slovamy/,Canonical URL простими словами | MAX SITE,"Коли потрібен self-canonical, чому дублікати шкодять і як перевірити канонічні сторінки.",Canonical URL простими словами,333,Article|BreadcrumbList|ListItem|Organization,2,33,true,200,,
https://maxsite.com.ua/blog/chomu-sajt-bez-seo-ne-daye-rezultatu/,blog/chomu-sajt-bez-seo-ne-daye-rezultatu/index.html,article,true,https://maxsite.com.ua/blog/chomu-sajt-bez-seo-ne-daye-rezultatu/,Чому сайт без SEO не дає результату | MAX SITE,Чому красивого дизайну недостатньо і як SEO-структура допомагає сайту працювати в Google.,Чому сайт без SEO не дає результату,458,Answer|Article|BreadcrumbList|FAQPage|ListItem|Organization|Question,3,51,true,200,,
https://maxsite.com.ua/blog/ga4-konversiyi-dlya-sajtu/,blog/ga4-konversiyi-dlya-sajtu/index.html,article,true,https://maxsite.com.ua/blog/ga4-konversiyi-dlya-sajtu/,GA4-конверсії для сайту бізнесу | MAX SITE,"Які події налаштувати для форм, телефону, месенджерів, цін і портфоліо.",GA4-конверсії для сайту бізнесу,328,Article|BreadcrumbList|ListItem|Organization,2,33,true,200,,
https://maxsite.com.ua/blog/google-ads-dlya-biznesu/,blog/google-ads-dlya-biznesu/index.html,article,true,https://maxsite.com.ua/blog/google-ads-dlya-biznesu/,Google Ads для бізнесу: коли запускати рекламу | MAX SITE,"Коли бізнесу варто запускати Google Ads, що потрібно для старту та як контролювати заявки.",Google Ads для бізнесу: коли варто запускати рекламу,400,Answer|Article|BreadcrumbList|FAQPage|ListItem|Organization|Question,2,51,true,200,,
https://maxsite.com.ua/blog/google-analytics-search-console/,blog/google-analytics-search-console/index.html,article,true,https://maxsite.com.ua/blog/google-analytics-search-console/,Навіщо бізнесу Google Analytics і Search Console | MAX SITE,"Навіщо підключати Google Analytics і Search Console: контроль трафіку, заявок, індексації та помилок сайту.",Навіщо бізнесу Google Analytics і Search Console,404,Answer|Article|BreadcrumbList|FAQPage|ListItem|Organization|Question,2,51,true,200,,
https://maxsite.com.ua/blog/landing-dlya-google-ads/,blog/landing-dlya-google-ads/index.html,article,true,https://maxsite.com.ua/blog/landing-dlya-google-ads/,Лендінг для Google Ads: що впливає на заявки | MAX SITE,"Структура рекламної сторінки, відповідність запиту, швидкість, довіра та вимірювання.",Лендінг для Google Ads: що впливає на заявки,413,Answer|Article|BreadcrumbList|FAQPage|ListItem|Organization|Question,3,33,true,200,,
https://maxsite.com.ua/blog/lending-abo-korporatyvnyj-sajt/,blog/lending-abo-korporatyvnyj-sajt/index.html,article,true,https://maxsite.com.ua/blog/lending-abo-korporatyvnyj-sajt/,Landing Page чи багатосторінковий сайт: що обрати | MAX SITE,"Порівнюємо Landing Page і багатосторінковий сайт: задачі, реклама, SEO, масштабування, строки та актуальні ціни MAX SITE.",Landing Page чи багатосторінковий сайт: що обрати,420,Answer|Article|BreadcrumbList|FAQPage|ListItem|Organization|Question,3,51,true,200,,
